id,step_number,block,question_text,question_icon,question_type,input_type,input_placeholder,no_option_value,no_option_next_step,no_option_action_type,no_option_action_data,option1_text,option1_value,option1_next_step,option1_action_type,option1_action_data,option2_text,option2_value,option2_next_step,option2_action_type,option2_action_data,option3_text,option3_value,option3_next_step,option3_action_type,option3_action_data,option4_text,option4_value,option4_next_step,option4_action_type,option4_action_data,show_conditions,created_at,updated_at
1,101,INTRO,"🚀 Hej! Välkommen till RaketRapport! Jag hjälper dig att skapa och ladda upp din årsredovisning på bara ett par minuter.
📁 Ladda upp din .SE fil från bokföringsprogrammet för att automatiskt skapa din årsredovisning.",,message,,,upload_se_file,102,show_file_upload,,,,,,,,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
2,102,INTRO,Perfekt! Resultatrapport och balansräkning är nu skapad från SE-filen.,"✅ ",message,,,,103,,,,,,,,,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
3,103,INTRO,Årets resultat är: {SumAretsResultat} kr. Se fullständig resultat- och balans rapport i preview fönstret till höger.,💰,message,,,,104,,,,,,,,,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
4,104,INTRO,Den bokförda skatten är {SkattAretsResultat} kr. Vill du godkänna den eller vill du se över de skattemässiga justeringarna?,🏛️,options,,,,,,,"Ja, godkänn den bokförda skatten.",continue,501,navigate,,Låt mig se över justeringarna!,continue,201,navigate,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
5,201,PENSION,"Det verkar som att särskild löneskatt på pensionförsäkringspremier inte verkar vara bokförd. Inbetalda pensionförsäkringspremier under året uppgår till {pension_premier} kr och den särskilda löneskatten borde uppgå till {sarskild_loneskatt_pension_calculated} kr,  men endast {sarskild_loneskatt_pension} kr verkar vara bokfört. Vill du att vi justerar den särskilda löneskatten och därmed årets resultat enligt våra beräkningar?",⚠️,options,,,,,,,Justera särskild löneskatt till {sarskild_loneskatt_pension_calculated} kr,adjust_calculated,202,set_variable,"{""value"": ""calculated"", ""variable"": ""justeringSarskildLoneskatt""}",Behåll nuvarande bokförd särskild löneskatt {sarskild_loneskatt_pension} kr,keep_current,301,set_variable,"{""value"": ""current"", ""variable"": ""justeringSarskildLoneskatt""}",Ange belopp för egen särskild löneskatt,enter_custom,203,show_input,"{""input_type"": ""amount"", ""placeholder"": ""Ange belopp...""}",,,,,,"{""pension_premier"": {""gt"": 0}, ""sarskild_loneskatt_pension_calculated"": {""gt"": ""sarskild_loneskatt_pension""}}",2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
6,202,PENSION,"Perfekt, nu är den särskilda löneskatten justerad som du kan se i skatteuträkningen till höger.",✅,message,,,continue,301,navigate,,,,,,,,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
7,203,PENSION,Ange belopp för särskild löneskatt:,💰,input,amount,Ange belopp...,,,,,Skicka,submit,202,process_input,"{""variable"": ""sarskildLoneskattCustom""}",,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
8,301,UNDERSKOTT,Outnyttjat underskott från föregående år är det samlade beloppet av tidigare års skattemässiga förluster som ännu inte har kunnat kvittas mot vinster. Om företaget går med vinst ett senare år kan hela eller delar av det outnyttjade underskottet användas för att minska den beskattningsbara inkomsten och därmed skatten. Denna uppgift går inte att hämta från tidigare årsredovisningar utan behöver tas från årets förtryckta deklaration eller från förra årets inlämnade skattedeklaration. Vill du...,📊,options,,,,,,,Finns inget outnyttjat underskott kvar,none,401,navigate,,Ange belopp outnyttjat underskott,enter_amount,302,show_input,"{""input_type"": ""amount"", ""placeholder"": ""Ange belopp...""}",,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
9,302,UNDERSKOTT,Det går bra att lägga in belopp för outnyttjat underskott i rutan nedan och klicka på Skicka så uppdateras skatteuträkningen automatiskt.,💰,input,amount,Ange belopp...,,,,,Skicka,submit,303,process_input,"{""variable"": ""unusedTaxLossAmount""}",,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
10,303,UNDERSKOTT,"Outnyttjat underskott från föregående år har blivit uppdaterat med {unusedTaxLossAmount} kr, som du kan se i skatteuträkningen till höger.",✅,options,,,continue,304,navigate,,,,,navigate,,,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
18,304,UNDERSKOTT,"Perfekt, nu är den outnyttjade förlusten och därmed skattemässigt resultat samt beräknad skatt justerad som du kan se i skatteuträkningen till höger.",✅,message,,,continue,401,navigate,,,,,,,,,,,,,,,,,,,,,,,,
11,401,SLUTSKATT,Beräknad skatt efter skattemässiga justeringar är {inkBeraknadSkatt} kr. Vill du godkänna denna skatt eller vill du göra manuella justeringar? Eller vill du hellre att vi godkänner och använder den bokförda skatten?,🧮,options,,,,,,,Godkänn och använd beräknad skatt {inkBeraknadSkatt} kr,approve_calculated,405,set_variable,"{""value"": ""calculated"", ""variable"": ""finalTaxChoice""}",Gör manuella ändringar i skattejusteringarna,manual_changes,402,enable_editing,,Godkänn och använd bokförd skatt {inkBokfordSkatt} kr,approve_booked,405,set_variable,"{""value"": ""booked"", ""variable"": ""finalTaxChoice""}",,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
12,402,SLUTSKATT,"Du kan nu redigera skattemässiga justeringar. Klicka på ""Godkänn och uppdatera skatt"" när du är klar.",✏️,message,,,,,,,Godkänn och uppdatera skatt,update_tax,405,save_manual_tax,,Ångra ändringar,undo_changes,401,reset_tax_edits,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
13,405,SLUTSKATT,Perfekt! Nu är årets skatt beräknat och vi har även ett slutgiltigt årets resultat och vi kan gå vidare!,✅,message,,,continue,501,navigate,,,,,,,,,,,,,,,,,,,,,,,,
14,501,UTDELNING,Perfekt! Vill ni göra någon utdelning av vinsten?,💰,options,,,,,,,0 kr utdelning,0,505,set_variable,"{""value"": ""0"", ""variable"": ""dividend""}",Hela årets vinst {SumAretsResultat} kr,,505,set_variable,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
15,502,UTDELNING,Ange belopp för utdelning:,💰,input,amount,Ange belopp...,,,,,Skicka,submit,505,process_input,"{""variable"": ""customDividend""}",,,,,,,,,,,,,,,,,2025-08-11 15:18:32.40331+00,2025-08-11 15:18:32.40331+00
