id,row_id,row_title,accounts_included_start,accounts_included_end,accounts_included,accounts_excluded_start,accounts_excluded_end,accounts_excluded,show_amount,style,variable_name,element_name,is_calculated,calculation_formula,is_abstract,data_type,balance_type,show_in_shortened,period_type,created_at,updated_at,block_group,always_show
1,240,Resultaträkning,,,,,,,false,H0,ResultatrakningHeader,ResultatrakningKostnadsslagsindeladAbstract,false,,true,xbrli:stringItemType,,true,DURATION,2025-08-04 13:19:32.772914+00,2025-08-05 19:11:31.002852+00,,false
2,241,Rörelseresultat,,,,,,,false,H1,RorelseresultatHeader,RorelseresultatAbstract,false,,true,xbrli:stringItemType,,true,DURATION,2025-08-04 13:19:32.861283+00,2025-08-05 18:45:07.488412+00,,false
3,242,"Rörelseintäkter, lagerförändringar m.m.",,,,,,,false,H2,RorelsensIntakterHeader,RorelsensIntakterLagerforandringarMmAbstract,false,,true,xbrli:stringItemType,,false,DURATION,2025-08-04 13:19:32.911657+00,2025-08-05 17:59:26.145403+00,rorelseintakter,true
4,243,Nettoomsättning,3000,3799,,,,,true,NORMAL,Nettoomsattning,Nettoomsattning,false,,false,xbrli:monetaryItemType,CREDIT,false,DURATION,2025-08-04 13:19:32.975012+00,2025-08-05 17:59:26.145403+00,rorelseintakter,true
5,244,"Förändringar av lager av produkter i arbete, färdiga varor och pågående arbeten för annans räkning",4900,4999,,4910,4931,4960-4969;4980-4989,true,NORMAL,ForandringLager,ForandringLagerProdukterIArbeteFardigaVarorPagaendeArbetenAnnansRakning,false,,false,xbrli:monetaryItemType,CREDIT,false,DURATION,2025-08-04 13:19:33.023779+00,2025-08-05 17:28:28.801735+00,rorelseintakter,false
6,245,Aktiverat arbete för egen räkning,3800,3899,,,,,true,NORMAL,AktiveratArbeteEgenRakning,AktiveratArbeteEgenRakning,false,,false,xbrli:monetaryItemType,CREDIT,false,DURATION,2025-08-04 13:19:33.072672+00,2025-08-05 17:28:28.801735+00,rorelseintakter,false
7,246,Övriga rörelseintäkter,3900,3999,,,,,true,NORMAL,OvrigaRorelseintakter,OvrigaRorelseintakter,false,,false,xbrli:monetaryItemType,CREDIT,false,DURATION,2025-08-04 13:19:33.116017+00,2025-08-05 17:28:28.801735+00,rorelseintakter,false
8,247,"Summa rörelseintäkter, lagerförändringar m.m.",,,,,,,true,S2,SumRorelseintakter,RorelseintakterLagerforandringarMm,true,Nettoomsattning+ForandringLager+AktiveratArbeteEgenRakning+OvrigaRorelseintakter,false,xbrli:monetaryItemType,CREDIT,false,DURATION,2025-08-04 13:19:33.164053+00,2025-08-05 17:59:26.145403+00,rorelseintakter,true
9,248,Rörelsekostnader,,,,,,,false,H2,RorelsekostnaderHeader,RorelsekostnaderAbstract,false,,true,xbrli:stringItemType,,false,DURATION,2025-08-04 13:19:33.225397+00,2025-08-05 17:59:26.145403+00,rorelsekostnader,true
10,249,Råvaror och förnödenheter,4000,4799,4910-4931,,,,true,NORMAL,RavarorFornodenheter,RavarorFornodenheterKostnader,false,,false,xbrli:monetaryItemType,DEBIT,false,DURATION,2025-08-04 13:19:33.273499+00,2025-08-05 17:28:28.801735+00,rorelsekostnader,false
11,250,Handelsvaror,4960,4969,4980-4989,,,,true,NORMAL,Handelsvaror,HandelsvarorKostnader,false,,false,xbrli:monetaryItemType,DEBIT,false,DURATION,2025-08-04 13:19:33.314868+00,2025-08-05 17:28:28.801735+00,rorelsekostnader,false
12,251,Övriga externa kostnader,5000,6999,,,,,true,NORMAL,OvrigaExternaKostnader,OvrigaExternaKostnader,false,,false,xbrli:monetaryItemType,DEBIT,false,DURATION,2025-08-04 13:19:33.35675+00,2025-08-05 17:28:28.801735+00,rorelsekostnader,false
13,252,Personalkostnader,7000,7699,,,,,true,NORMAL,PersonalKostnader,Personalkostnader,false,,false,xbrli:monetaryItemType,DEBIT,true,DURATION,2025-08-04 13:19:33.399069+00,2025-08-05 17:59:26.145403+00,rorelsekostnader,true
14,253,Av- och nedskrivningar av materiella och immateriella anläggningstillgångar,7700,7899,,7740,7749,7790-7799,true,NORMAL,AvskrNedskrMatImmAnlTillgangar,AvskrivningarNedskrivningarMateriellaImmateriellaAnlaggningstillgangar,false,,false,xbrli:monetaryItemType,DEBIT,true,DURATION,2025-08-04 13:19:33.449346+00,2025-08-05 17:28:28.801735+00,rorelsekostnader,false
15,254,Nedskrivningar av omsättningstillgångar utöver normala nedskrivningar,7740,7749,7790-7799,,,,true,NORMAL,NedskrOmsTillgangarUtoverNorm,NedskrivningarOmsattningstillgangarUtoverNormalaNedskrivningar,false,,false,xbrli:monetaryItemType,DEBIT,true,DURATION,2025-08-04 13:19:33.489528+00,2025-08-05 17:28:28.801735+00,rorelsekostnader,false
